years,S100,S95,S90,S85,S80,S75,S70,S65,S60,S55,S50,S45,S40,S35,S30,S25,S20,S15,S10,S05,S00
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,38.199863,39.09985,40.09984,40.89983,41.59982,41.899815,42.19981,42.49981,42.799805,42.9998,43.299797,43.599792,43.79979,44.09979,44.399784,44.59978,44.899776,45.099773,45.39977,45.599766,45.899765
3,24.00003,24.400032,24.800032,25.10003,25.500027,25.90002,26.200018,26.600012,26.800009,26.90001,27.100006,27.200005,27.400002,27.5,27.699999,27.799997,27.999994,28.099993,28.29999,28.399988,28.599987
4,16.600016,17.300016,18.00002,18.60002,18.90002,19.000021,19.100021,19.200022,19.200022,19.300022,19.40002,19.40002,19.500021,19.600021,19.600021,19.700022,19.700022,19.700022,19.800022,19.800022,19.900023
5,13.000009,13.60001,14.200011,14.500011,14.500011,14.600012,14.700012,14.800013,14.800013,14.900012,15.000012,15.000012,15.100013,15.100013,15.200013,15.200013,15.300014,15.300014,15.300014,15.300014,15.300014
6,11.100004,11.600006,12.100007,12.100007,12.2000065,12.2000065,12.2000065,12.2000065,12.2000065,12.300007,12.300007,12.300007,12.300007,12.300007,12.300007,12.300007,12.300007,12.300007,12.300007,12.300007,12.300007
7,9.500001,9.9000025,10.300003,10.400003,10.400003,10.500004,10.500004,10.500004,10.500004,10.600003,10.600003,10.600003,10.600003,10.600003,10.600003,10.600003,10.600003,10.600003,10.700004,10.700004,10.600003
8,8.7,8.8,9.0,9.1,9.200001,9.400002,9.400002,9.400002,9.400002,9.500001,9.500001,9.500001,9.500001,9.500001,9.500001,9.500001,9.500001,9.500001,9.500001,9.400002,9.400002
9,7.799998,7.899998,7.999998,8.099998,8.199999,8.299999,8.4,8.499999,8.599999,8.599999,8.599999,8.599999,8.599999,8.599999,8.599999,8.599999,8.599999,8.499999,8.499999,8.499999,8.499999
10,6.999996,7.0999966,7.199997,7.299997,7.299997,7.399997,7.499997,7.499997,7.5999975,7.699998,7.699998,7.799998,7.799998,7.899998,7.899998,7.899998,7.899998,7.799998,7.799998,7.799998,7.799998
11,6.499995,6.499995,6.5999956,6.6999955,6.799996,6.799996,6.8999963,6.8999963,6.999996,6.999996,7.0999966,7.0999966,7.199997,7.199997,7.199997,7.299997,7.299997,7.299997,7.199997,7.199997,6.999996
12,5.999995,6.099995,6.199995,6.199995,6.299995,6.399995,6.399995,6.499995,6.499995,6.499995,6.5999956,6.5999956,6.5999956,6.6999955,6.6999955,6.6999955,6.6999955,6.6999955,6.6999955,6.499995,6.299995
13,5.699996,5.799996,5.799996,5.899996,5.899996,5.999995,5.999995,6.099995,6.099995,6.099995,6.199995,6.199995,6.199995,6.199995,6.299995,6.299995,6.299995,6.299995,6.199995,5.999995,5.799996
14,5.3999963,5.499996,5.599996,5.599996,5.699996,5.699996,5.699996,5.799996,5.799996,5.799996,5.899996,5.899996,5.899996,5.899996,5.899996,5.999995,5.999995,5.999995,5.799996,5.499996,5.2999964
15,5.2999964,5.2999964,5.3999963,5.3999963,5.499996,5.499996,5.499996,5.599996,5.599996,5.599996,5.699996,5.699996,5.699996,5.699996,5.699996,5.699996,5.699996,5.599996,5.3999963,5.199997,4.899997
16,5.099997,5.099997,5.199997,5.199997,5.2999964,5.2999964,5.2999964,5.3999963,5.3999963,5.3999963,5.3999963,5.499996,5.499996,5.499996,5.499996,5.499996,5.3999963,5.2999964,5.099997,4.7999973,4.599998
17,4.899997,4.999997,4.999997,4.999997,5.099997,5.099997,5.099997,5.199997,5.199997,5.199997,5.199997,5.199997,5.199997,5.199997,5.099997,5.099997,5.099997,4.999997,4.7999973,4.499998,4.2999983
18,4.6999974,4.7999973,4.7999973,4.899997,4.899997,4.899997,4.899997,4.999997,4.999997,4.899997,4.899997,4.899997,4.899997,4.899997,4.899997,4.7999973,4.7999973,4.6999974,4.499998,4.2999983,3.9999988
19,4.599998,4.6999974,4.6999974,4.6999974,4.7999973,4.7999973,4.6999974,4.6999974,4.6999974,4.6999974,4.6999974,4.6999974,4.6999974,4.599998,4.599998,4.599998,4.599998,4.499998,4.2999983,3.9999988,3.7999992
20,4.399998,4.499998,4.599998,4.599998,4.599998,4.599998,4.599998,4.499998,4.499998,4.499998,4.499998,4.499998,4.499998,4.399998,4.399998,4.399998,4.399998,4.2999983,4.0999985,3.7999992,3.5999994
21,4.2999983,4.399998,4.399998,4.399998,4.399998,4.399998,4.
