Date,SP500 P,SP500 D,SP500 E,CPI,Date Fraction,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,,TR CAPE,,Excess CAPE Yield,Monthly Total Bond Returns,Real Total Bond Returns,10y Annualized Stock Real Return,10y Annualized Bonds Real Return,Real 10y Excess Annualized Returns,,,,
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,101.75,5.96, 	101.75 ,9.17, 	9.17 ,NA,,NA,,,1.00,1.00,13.06%,9.25%,3.81%,,,,
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,100.07,5.78, 	100.55 ,8.90, 	8.94 ,NA,,NA,,,1.00,0.97,13.09%,9.46%,3.62%,,,,
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,101.02,5.70, 	101.98 ,8.77, 	8.85 ,NA,,NA,,,1.00,0.96,13.10%,9.62%,3.48%,,,,
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,107.80,5.91, 	109.33 ,9.10, 	9.23 ,NA,,NA,,,1.00,1.00,12.21%,9.10%,3.11%,,,,
1871.05,4.86,0.26,0.40,12.27,1871.37,5.33,113.10,6.05, 	115.22 ,9.31, 	9.48 ,NA,,NA,,,1.00,1.03,12.26%,8.95%,3.31%,,,,
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,113.94,6.15, 	116.59 ,9.46, 	9.68 ,NA,,NA,,,1.00,1.05,12.31%,8.77%,3.54%,,,,
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,111.81,6.15, 	114.94 ,9.46, 	9.72 ,NA,,NA,,,1.00,1.06,12.00%,8.66%,3.34%,,,,
1871.08,4.79,0.26,0.40,11.89,1871.62,5.34,115.04,6.24, 	118.79 ,9.61, 	9.92 ,NA,,NA,,,1.00,1.08,11.19%,8.27%,2.93%,,,,
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,113.52,6.10, 	117.74 ,9.38, 	9.73 ,NA,,NA,,,1.00,1.06,11.00%,8.10%,2.90%,,,,
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,106.00,6.00, 	110.46 ,9.24, 	9.63 ,NA,,NA,,,1.00,1.05,11.48%,8.17%,3.31%,,,,
1871.11,4.64,0.26,0.40,12.37,1871.87,5.35,107.15,6.00, 	112.19 ,9.24, 	9.67 ,NA,,NA,,,1.00,1.05,11.53%,8.26%,3.27%,,,,
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,106.99,5.87, 	112.53 ,9.03, 	9.50 ,NA,,NA,,,1.00,1.03,11.21%,8.50%,2.71%,,,,
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,109.70,5.94, 	115.90 ,9.09, 	9.60 ,NA,,NA,,,1.00,1.04,10.77%,8.49%,2.28%,,,,
1872.02,4.88,0.27,0.41,12.65,1872.12,5.38,110.15,6.02, 	116.91 ,9.14, 	9.70 ,NA,,NA,,,1.00,1.04,10.38%,8.39%,1.98%,,,,
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,112.08,6.00, 	119.48 ,9.06, 	9.66 ,NA,,NA,,,1.00,1.03,10.17%,8.55%,1.62%,,,,
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,112.69,5.95, 	120.66 ,8.92, 	9.55 ,NA,,NA,,,1.00,1.01,10.01%,8.69%,1.32%,,,,
1872.05,5.18,0.28,0.41,13.13,1872.37,5.43,112.69,6.02, 	121.20 ,8.97, 	9.65 ,NA,,NA,,,1.00,1.01,9.78%,8.59%,1.19%,,,,
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,112.42,6.14, 	121.45 ,9.09, 	9.83 ,NA,,NA,,,1.00,1.02,9.65%,8.41%,1.24%,,,,
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,113.41,6.30, 	123.10 ,9.28, 	10.08 ,NA,,NA,,,1.00,1.04,10.25%,8.35%,1.90%,,,,
1872.08,5.04,0.29,0.42,12.94,1872.62,5.49,111.26,6.33, 	121.33 ,9.27, 	10.11 ,NA,,NA,,,1.00,1.04,10.68%,8.32%,2.36%,,,,
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,108.47,6.35, 	118.87 ,9.26, 	10.15 ,NA,,NA,,,1.00,1.03,11.37%,8.70%,2.67%,,,,
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,111.35,6.57, 	122.62 ,9.52, 	10.49 ,NA,,NA,,,1.00,1.06,10.87%,8.56%,2.31%,,,,
1872.11,4.95,0.30,0.43,13.13,1872.87,5.54,107.69,6.45, 	119.18 ,9.30, 	10.29 ,NA,,NA,,,1.00,1.03,10.86%,8.98%,1.88%,,,,
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,111.92,6.62, 	124.48 ,9.49, 	10.56 ,NA,,NA,,,1.00,1.05,10.59%,8.92%,1.67%,,,,
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,112.80,6.68, 	126.08 ,9.55, 	10.67 ,NA,,NA,,,1.01,1.05,10.44%,8.91%,1.52%,,,,
1873.02,5.15,0.31,0.44,13.23,1873.12,5.57,111.23,6.59, 	124.94 ,9.40, 	10.55 ,NA,,NA,,,1.01,1.03,10.24%,9.02%,1.21%,,,,
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,110.37,6.64, 	124.59 ,9.45, 	10.67 ,NA,,NA,,,1.01,1.04,10.56%,9.10%,1.46%,,,,
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,108.86,6.70, 	123.51 ,9.50, 	10.78 ,NA,,NA,,,1.01,1.05,11.04%,9.18%,1.86%,,,,
1873.05,5.05,0.31,0.44,12.94,1873.37,5.54,111.48,6.90, 	127.14 ,9.77, 	11.14 ,NA,,NA,,,1.01,1.07,10.69%,9.03%,1.66%,,,,
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,113.26,7.16, 	129.86 ,10.12, 	11.60 ,NA,,NA,,,1.01,1.11,10.93%,9.00%,1.93%,,,,
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,113.04,7.22, 	130.29 ,10.18, 	11.73 ,NA,,NA,,,1.01,1.12,11.00%,9.20%,1.80%,,,,
1873.08,4.97,0.32,0.45,12.56,1873.62,5.52,113.04,7.28, 	130.99 ,10.23, 	11.86 ,NA,,NA,,,1.01,1.12,10.48%,9.17%,1.31%,,,,
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,104.39,7.33, 	121.68 ,10.29, 	12.00 ,NA,,NA,,,1.01,1.13,11.59%,9.26%,2.33%,,,,
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,97.51,7.56, 	114.39 ,10.59, 	12.42 ,NA,,NA,,,1.01,1.16,12.02%,8.99%,3.04%,,,,
1873.11,4.04,0.33,0.46,11.89,1873.87,5.49,97.03,7.87, 	114.60 ,10.99, 	12.98 ,NA,,NA,,,1.01,1.21,12.34%,8.73%,3.61%,,,,
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,103.67,7.74, 	123.20 ,10.79, 	12.82 ,NA,,NA,,,1.01,1.18,11.23%,8.85%,2.37%,,,,
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,107.62,7.62, 	128.64 ,10.62, 	12.70 ,NA,,NA,,,1.01,1.17,10.47%,9.00%,1.47%,,,,
1874.02,4.80,0.33,0.46,12.37,1874.12,5.44,110.85,7.62, 	133.27 ,10.62, 	12.77 ,NA,,NA,,,1.01,1.18,10.43%,8.96%,1.47%,,,,
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,109.23,7.62, 	132.09 ,10.62, 	12.85 ,NA,,NA,,,1.01,1.19,10.54%,8.92%,1.62%,,,,
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,107.89,7.74, 	131.24 ,10.79, 	13.12 ,NA,,NA,,,1.01,1.22,10.39%,8.95%,1.44%,,,,
1874.05,4.48,0.33,0.46,12.08,1874.37,5.34,105.90,7.80, 	129.62 ,10.87, 	13.31 ,NA,,NA,,,1.01,1.23,9.89%,9.06%,0.84%,,,,
